Year,Value,Observation status,Unit multiplier,Unit measure
1995,0.621339529,Estimate,Units,Index
1996,0.618122041,Estimate,Units,Index
1997,0.771004329,Estimate,Units,Index
1998,0.642354525,Estimate,Units,Index
1999,0.661509318,Estimate,Units,Index
2000,0.807328308,Estimate,Units,Index
2001,1.160329875,Estimate,Units,Index
2002,0.612295899,Estimate,Units,Index
2003,0.651699079,Estimate,Units,Index
2004,0.715937118,Estimate,Units,Index
2005,0.72976889,Estimate,Units,Index
2006,0.757564928,Estimate,Units,Index
2007,0.718703495,Estimate,Units,Index
2008,0.535228358,Estimate,Units,Index
2009,0.518150611,Estimate,Units,Index
2010,0.536094536,Estimate,Units,Index
2011,0.50327236,Estimate,Units,Index
2012,0.474469137,Estimate,Units,Index
2013,0.46991294,Estimate,Units,Index
2014,0.411589099,Estimate,Units,Index
2015,0.394219747,Estimate,Units,Index
2016,0.42010518,Estimate,Units,Index
2017,0.403549033,Estimate,Units,Index
2018,0.422870274,Estimate,Units,Index
